korean,category_guess,source_sentence,is_registered,matched_glossary_term,note
도구 준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
도구준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
도화지,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,Y,색칠 도구; 도화지,기존 사전 용어
상상화,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
색칠 도구,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,Y,색칠 도구; 도화지,기존 사전 용어
색칠 도구 준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
색칠도구준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
준비해,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
채색도구,준비물,대회에 나가면 도화지와 색칠 도구를 준비해 주세요,N,색칠 도구; 도화지,preferred_vi 입력 필요
채색 도구 준비해,준비물,과학 상상화 그리기 대회 참가자는 도화지와 채색 도구를 준비해 주세요,N,도화지,preferred_vi 입력 필요
채색도구준비해,준비물,과학 상상화 그리기 대회 참가자는 도화지와 채색 도구를 준비해 주세요,N,도화지,preferred_vi 입력 필요
평가,기타,5월 둘째 주에 학업성취도 평가가 있습니다,N,,preferred_vi 입력 필요
학업성취,기타,5월 둘째 주에 학업성취도 평가가 있습니다,N,,preferred_vi 입력 필요
검사,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
검사 참여해,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
검사참여해,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
온라인,기타,정서행동 온라인 검사에 참여해 주세요,N,,preferred_vi 입력 필요
